id,year,sport,medal_type
8350,1980,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
8351,2014,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
8352,2012,Handball Men's Handball,Bronze
8353,1984,Volleyball Men's Volleyball,Gold
8354,1992,Handball Men's Handball,Gold
8355,1996,Handball Men's Handball,Bronze
8356,2000,Handball Men's Handball,Bronze
8357,1996,Rowing Men's Coxed Eights,Gold
8358,1996,Hockey Women's Hockey,Bronze
8359,1984,Water Polo Men's Water Polo,Gold
8360,1988,Water Polo Men's Water Polo,Gold
8361,1980,Basketball Women's Basketball,Bronze
8362,1984,Handball Women's Handball,Gold
8363,1996,Volleyball Men's Volleyball,Bronze
8364,1980,Handball Women's Handball,Silver
8365,1984,Handball Women's Handball,Gold
8366,1980,Basketball Women's Basketball,Bronze
8367,1976,Judo Men's Middleweight,Silver
8368,1904,Athletics Men's Pole Vault,Gold
8369,1984,Volleyball Men's Volleyball,Gold
8370,1976,Ice Hockey Men's Ice Hockey,Silver
8371,1996,Athletics Men's Decathlon,Bronze
8372,1972,Basketball Men's Basketball,Gold
8373,2012,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
8374,2016,Swimming Men's 200 metres Freestyle,Bronze
8375,2016,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
8376,2004,Hockey Men's Hockey,Gold
8377,2008,Hockey Men's Hockey,Bronze
8378,2012,Hockey Men's Hockey,Bronze
8379,2004,Athletics Men's 4 x 400 metres Relay,Silver
8380,2012,"Canoeing Men's Kayak Doubles, 200 metres",Gold
8381,2004,"Fencing Men's Sabre, Team",Bronze
8382,2016,"Fencing Women's Sabre, Team",Gold
8383,1980,"Shooting Mixed Free Pistol, 50 metres",Bronze
8384,1988,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
8385,1992,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
8386,1994,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
8387,2012,Boxing Men's Super-Heavyweight,Bronze
8388,2016,Boxing Men's Super-Heavyweight,Bronze
8389,1988,Boxing Men's Welterweight,Bronze
8390,1932,Athletics Men's 4 x 100 metres Relay,Gold
8391,2016,Cycling Women's Team Pursuit,Silver
8392,1936,Alpinism Mixed Alpinism,Gold
8393,1936,Alpinism Mixed Alpinism,Gold
8394,1988,"Canoeing Women's Kayak Singles, 500 metres",Bronze
8395,1992,"Canoeing Women's Kayak Singles, 500 metres",Bronze
8396,2000,Shooting Women's Skeet,Silver
8397,1972,Sailing Mixed Two Person Keelboat,Gold
8398,1996,Synchronized Swimming Women's Team,Gold
8399,1920,Modern Pentathlon Men's Individual,Gold
8400,1924,Modern Pentathlon Men's Individual,Silver
8401,1936,"Fencing Men's epee, Team",Silver
8402,1960,"Wrestling Men's Heavyweight, Freestyle",Bronze
8403,1956,"Wrestling Men's Featherweight, Greco-Roman",Bronze
8404,2000,Rowing Women's Single Sculls,Silver
8405,2004,Rowing Women's Single Sculls,Bronze
8406,2008,Rowing Women's Single Sculls,Gold
8407,2000,Boxing Men's Featherweight,Bronze
8408,1980,Athletics Men's Marathon,Bronze
8409,1988,Athletics Women's 4 x 400 metres Relay,Gold
8410,1992,Athletics Women's 4 x 400 metres Relay,Gold
8411,2014,Biathlon Women's 4 x 6 kilometres Relay,Gold
8412,1996,Archery Women's Team,Bronze
8413,1976,"Wrestling Men's Welterweight, Freestyle",Bronze
8414,1972,Football Men's Football,Bronze
8415,2004,Handball Men's Handball,Gold
8416,1964,Ice Hockey Men's Ice Hockey,Bronze
8417,1968,Ice Hockey Men's Ice Hockey,Silver
8418,1972,Ice Hockey Men's Ice Hockey,Bronze
8419,1996,Rhythmic Gymnastics Women's Group,Bronze
8420,2000,Cycling Men's Team Sprint,Bronze
8421,1952,Hockey Men's Hockey,Bronze
8422,1920,Boxing Men's Light-Heavyweight,Gold
8423,1932,Bobsleigh Men's Four,Gold
8424,1972,Rowing Men's Coxed Eights,Gold
8425,1976,Rowing Men's Coxed Eights,Bronze
8426,1920,Rowing Men's Coxed Eights,Silver
8427,1908,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Bronze
8428,1908,"Shooting Men's Trap, Team",Gold
8429,1984,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8430,1908,"Tennis Women's Singles, Covered Courts",Gold
8431,1932,Athletics Men's 400 metres,Silver
8432,1908,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
8433,1932,Rowing Men's Coxed Eights,Bronze
8434,2012,Athletics Men's Decathlon,Gold
8435,2016,Athletics Men's Decathlon,Gold
8436,1908,Tennis Men's Singles,Bronze
8437,2012,Volleyball Women's Volleyball,Bronze
8438,1908,Tug-Of-War Men's Tug-Of-War,Bronze
8439,1996,Rowing Men's Lightweight Coxless Fours,Gold
8440,2000,Rowing Men's Lightweight Coxless Fours,Bronze
8441,2004,Rowing Men's Lightweight Coxless Fours,Gold
8442,2008,Rowing Men's Lightweight Coxless Fours,Gold
8443,2012,Rowing Men's Lightweight Coxless Fours,Bronze
8444,1948,Bobsleigh Men's Two,Silver
8445,1936,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver
8446,1948,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
8447,1998,Alpine Skiing Men's Giant Slalom,Silver
8448,2002,Alpine Skiing Men's Downhill,Bronze
8449,2002,Alpine Skiing Men's Super G,Silver
8450,2002,Alpine Skiing Men's Giant Slalom,Gold
8451,1980,Gymnastics Women's Team All-Around,Silver
8452,1980,Gymnastics Women's Uneven Bars,Silver
8453,1972,Swimming Women's 4 x 100 metres Medley Relay,Bronze
8454,1932,Athletics Men's Decathlon,Bronze
8455,1976,Ice Hockey Men's Ice Hockey,Silver
8456,1976,Rowing Women's Coxed Eights,Gold
8457,2000,Rowing Men's Lightweight Coxless Fours,Bronze
8458,2004,Rowing Men's Lightweight Coxless Fours,Gold
8459,2008,Rowing Men's Lightweight Coxless Fours,Gold
8460,2012,Judo Men's Half-Lightweight,Bronze
8461,2016,Judo Men's Half-Lightweight,Bronze
8462,2002,Curling Women's Curling,Silver
8463,2000,Taekwondo Men's Welterweight,Silver
8464,1920,Athletics Men's 800 metres,Silver
8465,1906,Rowing Men's Coxed Fours,Silver
8466,2008,Sailing Mixed Multihull,Gold
8467,2012,Sailing Women's Three Person Keelboat,Gold
8468,1952,"Equestrianism Men's Jumping, Team",Silver
8469,1988,Athletics Women's 4 x 100 metres Relay,Gold
8470,1976,Rowing Women's Coxless Pairs,Bronze
8471,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
8472,1984,Judo Men's Extra-Lightweight,Bronze
8473,1992,Rowing Women's Coxless Fours,Silver
8474,1976,Athletics Women's 200 metres,Gold
8475,1976,Athletics Women's 4 x 100 metres Relay,Gold
8476,1980,Athletics Women's 200 metres,Gold
8477,1980,Athletics Women's 4 x 100 metres Relay,Gold
8478,2014,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
8479,2014,Biathlon Women's 12.5 kilometres Mass Start,Bronze
8480,2014,Biathlon Women's 4 x 6 kilometres Relay,Bronze
8481,1932,Water Polo Men's Water Polo,Silver
8482,1936,Rowing Men's Coxless Fours,Gold
8483,1988,Tennis Men's Singles,Bronze
8484,1988,Tennis Men's Doubles,Bronze
8485,2016,Rowing Women's Coxed Eights,Silver
8486,1996,Softball Women's Softball,Bronze
8487,2000,Softball Women's Softball,Bronze
8488,2004,Softball Women's Softball,Silver
8489,2010,Nordic Combined Men's Team,Bronze
8490,2016,Volleyball Men's Volleyball,Gold
8491,1994,Alpine Skiing Women's Slalom,Silver
8492,1968,Bobsleigh Men's Four,Silver
8493,2010,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
8494,2014,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
8495,1924,Swimming Women's 100 metres Freestyle,Bronze
8496,1924,Swimming Women's 400 metres Freestyle,Bronze
8497,1924,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
8498,1972,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
8499,2008,Cycling Men's Keirin,Silver
8500,2014,Curling Men's Curling,Bronze
8501,2014,Ice Hockey Men's Ice Hockey,Silver
8502,1976,"Fencing Men's epee, Team",Gold
8503,1912,Tug-Of-War Men's Tug-Of-War,Gold
8504,2000,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
8505,1988,Football Men's Football,Silver
8506,2016,"Cycling Men's Team Pursuit, 4,000 metres",Silver
8507,2012,Cycling Women's Omnium,Bronze
8508,1984,Rowing Men's Coxed Eights,Bronze
8509,1960,Basketball Men's Basketball,Bronze
8510,1964,Basketball Men's Basketball,Bronze
8511,2002,Ice Hockey Women's Ice Hockey,Bronze
8512,2006,Ice Hockey Women's Ice Hockey,Silver
8513,1956,Cross Country Skiing Women's 10 kilometres,Bronze
8514,1956,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
8515,1960,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
8516,1920,Athletics Men's 100 metres,Bronze
8517,1920,Athletics Men's 200 metres,Bronze
8518,1996,Rowing Men's Lightweight Double Sculls,Bronze
8519,2000,Rowing Men's Lightweight Coxless Fours,Silver
8520,2004,Rowing Men's Lightweight Coxless Fours,Silver
8521,1932,Rowing Men's Coxless Pairs,Gold
8522,1932,Rowing Men's Coxless Fours,Gold
8523,1996,Athletics Men's Triple Jump,Silver
8524,2000,Athletics Men's Triple Jump,Gold
8525,1904,Golf Men's Team,Gold
8526,1956,Swimming Women's 100 metres Backstroke,Bronze
8527,1984,Athletics Men's 4 x 100 metres Relay,Silver
8528,1928,Athletics Men's 4 x 400 metres Relay,Bronze
8529,1932,Athletics Men's 800 metres,Bronze
8530,1932,"Athletics Men's 1,500 metres",Bronze
8531,1932,Athletics Men's 4 x 400 metres Relay,Bronze
8532,1936,Athletics Men's 800 metres,Bronze
8533,1984,Basketball Women's Basketball,Gold
8534,1988,Basketball Women's Basketball,Gold
8535,1992,Basketball Women's Basketball,Bronze
8536,1996,Basketball Women's Basketball,Gold
8537,2000,Basketball Women's Basketball,Gold
8538,2000,Athletics Women's 4 x 100 metres Relay,Bronze
8539,2016,Handball Women's Handball,Silver
8540,1928,Gymnastics Men's Team All-Around,Silver
8541,1960,Rowing Men's Coxed Fours,Gold
8542,1992,Handball Women's Handball,Silver
8543,2000,Synchronized Swimming Women's Team,Silver
8544,1984,Volleyball Women's Volleyball,Bronze
8545,1904,Golf Men's Individual,Silver
8546,1904,Golf Men's Team,Gold
8547,2008,Boxing Men's Light-Heavyweight,Silver
8548,1904,Golf Men's Team,Gold
8549,2004,Athletics Men's 4 x 100 metres Relay,Bronze
8550,1984,Athletics Men's 4 x 400 metres Relay,Bronze
8551,1992,Bobsleigh Men's Two,Bronze
8552,1988,Swimming Women's 100 metres Backstroke,Silver
8553,1988,Swimming Women's 200 metres Backstroke,Gold
8554,1992,Swimming Women's 100 metres Backstroke,Gold
8555,1992,Swimming Women's 200 metres Backstroke,Gold
8556,1992,Swimming Women's 400 metres Individual Medley,Gold
8557,1996,Swimming Women's 200 metres Backstroke,Gold
8558,1996,Swimming Women's 400 metres Individual Medley,Bronze
8559,1976,Gymnastics Women's Uneven Bars,Bronze
8560,2004,Rowing Men's Coxed Eights,Silver
8561,2014,Ice Hockey Women's Ice Hockey,Bronze
8562,2002,Curling Men's Curling,Bronze
8563,2010,Curling Men's Curling,Bronze
8564,2008,Rowing Men's Coxed Eights,Silver
8565,2012,Rowing Men's Coxed Eights,Bronze
8566,1936,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
8567,1920,"Shooting Men's Military Pistol, Team",Bronze
8568,2004,Hockey Men's Hockey,Gold
8569,1952,Modern Pentathlon Men's Team,Silver
8570,1992,Sailing Women's Two Person Dinghy,Silver
8571,1960,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
8572,1956,"Wrestling Men's Flyweight, Greco-Roman",Bronze
8573,1920,Football Men's Football,Silver
8574,1960,Hockey Men's Hockey,Bronze
8575,2016,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8576,1972,Athletics Men's 4 x 100 metres Relay,Bronze
8577,1936,"Art Competitions Mixed Literature, Epic Works",Silver
8578,2000,"Equestrianism Mixed Jumping, Team",Gold
8579,1996,"Canoeing Men's Canadian Doubles, Slalom",Bronze
8580,1924,Football Men's Football,Silver
8581,1988,"Equestrianism Mixed Three-Day Event, Team",Gold
8582,1992,"Equestrianism Mixed Three-Day Event, Team",Bronze
8583,1972,Athletics Women's 100 metres Hurdles,Gold
8584,1972,Luge Men's Singles,Silver
8585,1972,Rowing Men's Coxless Fours,Bronze
8586,1976,"Speed Skating Women's 3,000 metres",Silver
8587,1984,"Speed Skating Women's 1,000 metres",Silver
8588,1984,"Speed Skating Women's 1,500 metres",Silver
8589,1984,"Speed Skating Women's 3,000 metres",Gold
8590,1988,"Speed Skating Women's 1,500 metres",Bronze
8591,1988,"Speed Skating Women's 3,000 metres",Silver
8592,1988,"Speed Skating Women's 5,000 metres",Silver
8593,1932,"Wrestling Men's Featherweight, Greco-Roman",Silver
8594,1936,"Wrestling Men's Lightweight, Freestyle",Silver
8595,1972,"Canoeing Men's Canadian Singles, Slalom",Gold
8596,1996,"Canoeing Women's Kayak Fours, 500 metres",Silver
8597,1988,Rowing Men's Coxed Eights,Gold
8598,1992,Rowing Men's Coxed Eights,Bronze
8599,1936,Rowing Men's Coxless Pairs,Gold
8600,1972,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
8601,1988,Rowing Men's Coxed Fours,Gold
8602,1908,"Athletics Men's 1,600 metres Medley Relay",Silver
8603,1984,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
8604,1988,"Ski Jumping Men's Large Hill, Team",Bronze
8605,1972,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
8606,1920,Hockey Men's Hockey,Silver
8607,1996,Rowing Women's Double Sculls,Bronze
8608,2000,Hockey Men's Hockey,Gold
8609,2004,Hockey Men's Hockey,Silver
8610,2004,Hockey Men's Hockey,Bronze
8611,1956,Athletics Men's Triple Jump,Silver
8612,1992,Basketball Men's Basketball,Bronze
8613,1996,Basketball Men's Basketball,Bronze
8614,2000,Basketball Men's Basketball,Bronze
8615,1976,Rowing Women's Coxless Pairs,Bronze
8616,1908,"Athletics Men's 3,200 metres Steeplechase",Bronze
8617,1908,"Athletics Men's 3 mile, Team",Silver
8618,1936,"Fencing Men's Foil, Team",Bronze
8619,1936,"Fencing Men's Sabre, Team",Bronze
8620,1936,"Art Competitions Mixed Painting, Paintings",Silver
8621,1992,Figure Skating Mixed Pairs,Bronze
8622,1994,Figure Skating Mixed Pairs,Bronze
8623,2012,Handball Men's Handball,Silver
8624,1924,"Shooting Men's Running Target, Double Shot, Team",Bronze
8625,1936,Sailing Mixed 6 metres,Bronze
8626,2012,Handball Men's Handball,Silver
8627,1912,"Athletics Men's Cross-Country, Individual",Bronze
8628,1912,"Athletics Men's Cross-Country, Team",Gold
8629,1972,Sailing Mixed Three Person Keelboat,Bronze
8630,1920,Athletics Men's High Jump,Bronze
8631,1912,"Gymnastics Men's Team All-Around, Free System",Silver
8632,1984,Ice Hockey Men's Ice Hockey,Bronze
8633,1984,Ice Hockey Men's Ice Hockey,Bronze
8634,1988,Ice Hockey Men's Ice Hockey,Bronze
8635,1960,Gymnastics Men's Pommelled Horse,Gold
8636,1920,"Athletics Men's Cross-Country, Team",Bronze
8637,1924,"Shooting Men's Trap, Team",Bronze
8638,2014,Ice Hockey Men's Ice Hockey,Silver
8639,1984,Bobsleigh Men's Two,Bronze
8640,2008,Football Men's Football,Silver
8641,1912,"Cycling Men's Road Race, Team",Gold
8642,2008,Sailing Men's Two Person Keelboat,Bronze
8643,2000,"Athletics Men's 1,500 metres",Silver
8644,2004,"Athletics Men's 1,500 metres",Gold
8645,2004,"Athletics Men's 5,000 metres",Gold
8646,1928,Athletics Men's Marathon,Gold
8647,1992,"Athletics Men's 1,500 metres",Silver
8648,1960,Boxing Men's Flyweight,Bronze
8649,1984,Athletics Women's 400 metres Hurdles,Gold
8650,2004,Boxing Men's Heavyweight,Bronze
8651,1960,"Wrestling Men's Flyweight, Greco-Roman",Silver
8652,1936,Weightlifting Men's Middleweight,Gold
8653,2004,Football Women's Football,Silver
8654,1988,Ice Hockey Men's Ice Hockey,Bronze
8655,1984,Athletics Men's Javelin Throw,Bronze
8656,1992,Nordic Combined Men's Team,Silver
8657,1956,"Equestrianism Men's Three-Day Event, Team",Bronze
8658,1968,"Equestrianism Mixed Jumping, Team",Gold
8659,2000,Hockey Men's Hockey,Bronze
8660,2004,Hockey Men's Hockey,Gold
8661,1968,Athletics Women's 4 x 100 metres Relay,Silver
8662,1972,Athletics Women's 4 x 100 metres Relay,Bronze
8663,1936,"Fencing Women's Foil, Individual",Gold
8664,1948,"Fencing Women's Foil, Individual",Gold
8665,1952,"Fencing Women's Foil, Individual",Silver
8666,1924,Rowing Men's Coxless Fours,Gold
8667,1984,Handball Men's Handball,Gold
8668,2002,Ice Hockey Women's Ice Hockey,Bronze
8669,2006,Ice Hockey Women's Ice Hockey,Silver
8670,2016,Sailing Women's Windsurfer,Bronze
8671,2006,Ice Hockey Men's Ice Hockey,Bronze
8672,2006,Ice Hockey Women's Ice Hockey,Silver
8673,1988,Handball Women's Handball,Silver
8674,2000,Volleyball Women's Volleyball,Bronze
8675,1968,Cross Country Skiing Men's 50 kilometres,Gold
8676,1968,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
8677,2008,Shooting Men's Double Trap,Gold
8678,1932,Rowing Men's Coxed Fours,Gold
8679,1908,"Shooting Men's Free Pistol, 50 yards, Team",Bronze
8680,1908,"Shooting Men's Running Target, Single Shot, Team",Silver
8681,2004,Water Polo Women's Water Polo,Silver
8682,1920,Rowing Men's Coxed Eights,Bronze
8683,1896,"Weightlifting Men's Unlimited, One Hand",Gold
8684,1896,"Weightlifting Men's Unlimited, Two Hands",Silver
8685,1960,"Athletics Men's 1,500 metres",Gold
8686,1924,Boxing Men's Middleweight,Silver
8687,1988,"Athletics Men's 1,500 metres",Silver
8688,1964,Swimming Women's 100 metres Freestyle,Bronze
8689,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
8690,1964,Swimming Women's 100 metres Butterfly,Bronze
8691,1964,Swimming Women's 4 x 100 metres Medley Relay,Gold
8692,2016,Badminton Men's Doubles,Bronze
8693,1988,Boxing Men's Lightweight,Bronze
8694,2016,Athletics Women's 4 x 400 metres Relay,Gold
8695,1984,Rowing Men's Coxed Fours,Gold
8696,2012,Archery Men's Team,Silver
8697,2016,Archery Men's Individual,Bronze
8698,2016,Archery Men's Team,Silver
8699,2006,Speed Skating Men's Team Pursuit (8 laps),Silver
8700,1960,Weightlifting Men's Bantamweight,Bronze
8701,2000,Hockey Men's Hockey,Bronze
8702,1992,Hockey Men's Hockey,Silver
8703,1996,Hockey Men's Hockey,Bronze
8704,2016,Rowing Women's Coxed Eights,Gold
8705,1948,"Athletics Men's 3,000 metres Steeplechase",Silver
8706,2012,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
8707,2012,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
8708,2012,Swimming Women's 4 x 100 metres Medley Relay,Silver
8709,2016,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
8710,2016,Swimming Women's 4 x 100 metres Medley Relay,Silver
8711,2002,Cross Country Skiing Men's 10/10 kilometres Pursuit,Bronze
8712,1992,Biathlon Men's 10 kilometres Sprint,Bronze
8713,1988,Ice Hockey Men's Ice Hockey,Silver
8714,2012,Handball Women's Handball,Bronze
8715,1948,Diving Women's Springboard,Bronze
8716,1948,Diving Women's Platform,Silver
8717,1984,Football Men's Football,Bronze
8718,1948,Gymnastics Women's Team All-Around,Bronze
8719,1920,Rugby Men's Rugby,Silver
8720,1920,Boxing Men's Heavyweight,Bronze
8721,1948,Sailing Mixed One Person Dinghy,Gold
8722,1952,Sailing Mixed One Person Dinghy,Gold
8723,1956,Sailing Mixed One Person Dinghy,Gold
8724,1960,Sailing Mixed One Person Dinghy,Gold
8725,2012,Judo Women's Half-Middleweight,Bronze
8726,2004,Beach Volleyball Men's Beach Volleyball,Gold
8727,2008,Beach Volleyball Men's Beach Volleyball,Bronze
8728,2012,Beach Volleyball Men's Beach Volleyball,Silver
8729,1994,Bobsleigh Men's Four,Bronze
8730,2002,Bobsleigh Men's Four,Gold
8731,2004,Athletics Men's 4 x 100 metres Relay,Bronze
8732,1984,"Cycling Men's Team Pursuit, 4,000 metres",Silver
8733,1964,Bobsleigh Men's Four,Gold
8734,1964,Bobsleigh Men's Four,Gold
8735,1952,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
8736,1980,Diving Women's Platform,Silver
8737,1988,Athletics Women's 4 x 400 metres Relay,Bronze
8738,1904,"Gymnastics Men's Individual All-Around, Field Sports",Gold
8739,2004,Hockey Men's Hockey,Bronze
8740,1936,Hockey Men's Hockey,Gold
